Norelan;....;....;....;....;....;....;....;....;....;....;....;....;09:15;....;....;....;10:15;....;10:45;....;11:15;....;11:45;....;12:15;....;12:45;;
Oyards;06:19;06:34;06:49;07:04;07:19;07:34;....;08:04;08:19;08:34;08:49;09:02;09:17;09:32;....;10:02;10:17;10:32;10:47;11:02;11:17;11:32;11:47;....;12:17;12:32;12:47;;
Granges Rollet;06:20;06:35;06:50;07:05;07:20;07:35;....;08:05;08:20;08:35;08:50;09:03;09:18;09:33;....;10:03;10:18;10:33;10:48;11:03;11:18;11:33;11:48;....;12:18;12:33;12:48;;
Revermont;....;....;....;....;....;....;07:46;....;....;....;....;....;....;....;09:44;....;....;....;....;....;....;....;....;11:59;....;....;....;;
GrangesBardes;....;....;....;....;....;....;07:49;....;....;....;....;....;....;....;09:47;....;....;....;....;....;....;....;....;12:02;....;....;....;;
GrandChalles;....;....;....;....;....;....;07:50;....;....;....;....;....;....;....;09:48;....;....;....;....;....;....;....;....;12:03;....;....;....;;
Tilleuls;06:21;06:36;06:51;07:06;07:21;07:36;07:51;08:06;08:21;08:36;08:51;09:04;09:19;09:34;09:49;10:04;10:19;10:34;10:49;11:04;11:19;11:34;11:49;12:04;12:19;12:34;12:49;;
Chevrier;06:22;06:37;06:52;07:07;07:22;07:37;07:52;08:07;08:22;08:37;08:52;09:05;09:20;09:35;09:50;10:05;10:20;10:35;10:50;11:05;11:20;11:35;11:50;12:05;12:20;12:35;12:50;;
Cimetière ;06:23;06:38;06:53;07:08;07:23;07:38;07:53;08:08;08:23;08:38;08:53;09:06;09:21;09:36;09:51;10:06;10:21;10:36;10:51;11:06;11:21;11:36;11:51;12:06;12:21;12:36;12:51;;
Schuman;06:24;06:39;06:54;07:09;07:24;07:39;07:54;08:09;08:24;08:39;08:54;09:07;09:22;09:37;09:52;10:07;10:22;10:37;10:52;11:07;11:22;11:37;11:52;12:07;12:22;12:37;12:52;;
Dunant;06:25;06:40;06:55;07:10;07:25;07:40;07:55;08:10;08:25;08:40;08:55;09:09;09:24;09:39;09:54;10:09;10:24;10:39;10:54;11:09;11:24;11:39;11:54;12:09;12:24;12:39;12:54;;
Jean Moulin;06:26;06:41;06:56;07:11;07:26;07:41;07:56;08:11;08:26;08:41;08:56;09:10;09:25;09:40;09:55;10:10;10:25;10:40;10:55;11:10;11:25;11:40;11:55;12:10;12:25;12:40;12:55;;
Carré Amiot (Maginot) ;06:30;06:45;07:00;07:15;07:30;07:45;08:00;08:15;08:30;08:45;09:00;09:15;09:30;09:45;10:00;10:15;10:30;10:45;11:00;11:15;11:30;11:45;12:00;12:15;12:30;12:45;13:00;;
Hotel de Ville ;06:32;06:47;07:02;07:17;07:32;07:47;08:02;08:17;08:32;08:47;09:02;09:17;09:32;09:47;10:02;10:17;10:32;10:47;11:02;11:17;11:32;11:47;12:02;12:17;12:32;12:47;13:02;;
Préfecture ;06:34;06:49;07:04;07:19;07:34;07:49;08:04;08:19;08:34;08:49;09:04;09:19;09:34;09:49;10:04;10:19;10:34;10:49;11:04;11:19;11:34;11:49;12:04;12:19;12:34;12:49;13:04;;
Observatoire;06:35;06:50;07:05;07:20;07:35;07:50;08:05;08:20;08:35;08:50;09:05;09:20;09:35;09:50;10:05;10:20;10:35;10:50;11:05;11:20;11:35;11:50;12:05;12:20;12:35;12:50;13:05;;
Victoire Gare;06:36;06:51;07:07;07:22;07:37;07:52;08:07;08:22;08:37;08:52;09:07;09:22;09:37;09:52;10:07;10:22;10:37;10:52;11:07;11:22;11:37;11:52;12:07;12:22;12:37;12:52;13:07;;
Baudin;06:37;06:52;07:08;07:23;07:38;07:53;08:08;08:23;08:38;08:53;09:08;09:23;09:38;09:53;10:08;10:23;10:38;10:53;11:08;11:23;11:38;11:53;12:08;12:23;12:38;12:53;13:08;;
Voltaire;06:38;06:53;07:09;07:24;07:39;07:54;08:09;08:24;08:39;08:54;09:09;09:24;09:39;09:54;10:09;10:24;10:39;10:54;11:09;11:24;11:39;11:54;12:09;12:24;12:39;12:54;13:09;;
Labalme;06:39;06:54;07:11;07:26;07:41;07:56;08:11;08:26;08:41;08:56;09:10;09:25;09:40;09:55;10:10;10:25;10:40;10:55;11:10;11:25;11:40;11:55;12:10;12:25;12:40;12:55;13:10;;
Bourg Lyce_es ;06:41;06:56;07:13;07:28;07:43;07:58;08:13;08:28;08:43;08:58;09:12;09:27;09:42;09:57;10:12;10:27;10:42;10:57;11:12;11:27;11:42;11:57;12:12;12:27;12:42;12:57;13:12;;
Plein Soleil;06:41;06:56;07:13;07:28;07:43;07:58;08:13;08:28;08:43;08:58;09:12;09:27;09:42;09:57;10:12;10:27;10:42;10:57;11:12;11:27;11:42;11:57;12:12;12:27;12:42;12:57;13:12;;
St Roch;06:42;06:57;07:14;07:29;07:44;07:59;08:14;08:29;08:44;08:59;09:13;09:28;09:43;09:58;10:13;10:28;10:43;10:58;11:13;11:28;11:43;11:58;12:13;12:28;12:43;12:58;13:13;;
La Bruyelere;06:44;06:59;07:16;07:30;07:46;08:01;08:16;08:31;08:46;09:01;09:15;09:30;09:45;10:00;10:15;10:30;10:45;11:00;11:15;11:30;11:45;12:00;12:15;12:30;12:45;13:00;13:15;;
Vennes;06:45;07:00;07:17;....;07:47;08:02;08:17;08:32;08:47;09:02;09:16;09:31;09:46;10:01;10:16;10:31;10:46;11:01;11:16;11:31;11:46;12:01;12:16;12:31;12:46;13:01;13:16;;
Rousseau;06:45;07:00;07:17;....;07:47;08:02;08:17;08:32;08:47;09:02;09:16;09:31;09:46;10:01;10:16;10:31;10:46;11:01;11:16;11:31;11:46;12:01;12:16;12:31;12:46;13:01;13:16;;
Chartreuse;06:46;07:01;07:18;....;07:48;08:03;08:18;08:33;08:48;09:03;09:17;09:32;09:47;10:02;10:17;10:32;10:47;11:02;11:17;11:32;11:47;12:02;12:17;12:32;12:47;13:02;13:17;;
Verlaine;06:47;07:02;....;07:34;....;08:04;....;08:34;....;09:04;....;09:33;....;10:03;....;10:33;....;11:03;....;11:33;....;12:03;....;12:33;....;13:03;....;;
Seillon CFA;....;....;07:18;07:32;07:48;....;08:18;....;08:48;....;09:17;....;09:47;....;10:17;....;10:47;....;11:17;....;11:47;....;12:17;....;12:47;....;13:17;;
Molière ;....;....;07:20;....;07:50;....;08:20;....;08:50;....;09:19;....;09:49;....;10:19;....;10:49;....;11:19;....;11:49;....;12:19;....;12:49;....;13:19;;